Year,Value
1960,4.429633
1961,4.461007
1962,4.491442
1963,4.523307
1964,4.548545
1965,4.563732
1966,4.580868
1967,4.605743
1968,4.626471
1969,4.623785
1970,4.606304
1971,4.612124
1972,4.639656
1973,4.666079
1974,4.690575
1975,4.71144
1976,4.725665
1977,4.7389
1978,4.752527
1979,4.764691
1980,4.779537
1981,4.799962
1982,4.826931
1983,4.855786
1984,4.881806
1985,4.902202
1986,4.91815
1987,4.932123
1988,4.946487
1989,4.96437
1990,4.986433
1991,5.013737
1992,5.04199
1993,5.066452
1994,5.088324
1995,5.107787
1996,5.124573
1997,5.139839
1998,5.153499
1999,5.16547
2000,5.176203
2001,5.188005
2002,5.200598
2003,5.21301
2004,5.228173
2005,5.2461
2006,5.266266
2007,5.288719
2008,5.313398
2009,5.338867
2010,5.363341
2011,5.388272
2012,5.413967
2013,5.438975
2014,5.461507
2015,5.479528
2016,5.495297
2017,5.508209
2018,5.515525
